family	family_ncorr	pb_robot_SNPage	Index	Sample ID	Call Rate	Gender	p05 Grn	p50 Grn	p95 Grn	p05 Red	p50 Red	p95 Red	p10 GC	p50 GC	Rep Error Rate	PC Error Rate	PPC Error Rate	Aux	Genotype	Score	Subset	Array Info.Sentrix ID	Array Info.Sentrix Position
4	4ncorr	0	1	B00D64M	0.9342448	Unknown	1193	5471	22368	1607	8816	25783	0.4428563	0.749227	 	0.002090592	 	0		0.00		5662661015	R01C01
14	14ncorr	0	2	B00D64U	0.9296875	Unknown	1147	6716	27674	1328	9462	29776	0.4465337	0.7493504	 	0.006302521	 	0		0.00		5662661015	R01C02
1	1ncorr	0	3	B00D652	0.9309896	Unknown	969	5374	23522	1307	9268	27587	0.4449314	0.7506427	 	0.004895105	 	0		0.00		5662661015	R01C03
11	11ncorr	0	4	B00D65B	0.9296875	Unknown	1034	5398	25021	1549	11930	31175	0.4476436	0.7514559	 	0.005602241	 	0		0.00		5662661015	R01C04
9	9ncorr	0	5	B00D65J	0.9394531	Unknown	1134	5383	21812	1701	10700	30635	0.4403698	0.748841	 	0.003465004	 	0		0.00		5662661018	R01C01
0	14ncorr	0	6	B00D65X	0.8229167	Unknown	1275	5600	22061	1686	8949	28041	0.3872359	0.6982703	 	 	 	0		0.00		5662661018	R01C02
2	5ncorr	0	7	B00D666	0.9322917	Unknown	1102	6526	25839	1559	11553	34342	0.4529263	0.751745	 	 	0.01117318	0		0.00		5662661018	R01C03
2	2ncorr	0	8	B00D66F	0.9335938	Unknown	1044	6826	25792	1412	10380	31846	0.4380083	0.7478684	 	 	0.01185495	0		0.00		5662661018	R01C04
15	15ncorr	0	9	B00D66P	0.9361979	Unknown	1156	6459	24714	1620	11208	31538	0.4416463	0.7504809	 	0.004867872	 	0		0.00		5662661014	R01C01
98	98ncorr	0	10	B00D66W	0.9361979	Unknown	1016	5587	22324	1756	12184	33088	0.4397946	0.7507423	 	 	 	0		0.00		5662661014	R01C02
7	7ncorr	0	11	B00D674	0.9335938	Unknown	1000	5970	25300	1561	11349	34576	0.4418954	0.7508479	 	0.00488145	 	0		0.00		5662661014	R01C03
16	16ncorr	0	12	B00D67D	0.9329427	Unknown	928	5454	23087	1397	10091	31059	0.4400578	0.7508394	 	0.009071877	 	0		0.00		5662661014	R01C04
3	3ncorr	0	13	B00D64N	0.9303386	Unknown	1461	8132	29319	1559	9940	30325	0.4312964	0.7423418	 	0.00209937	 	0		0.00		5662661015	R02C01
11	11ncorr	0	14	B00D64V	0.9368489	Unknown	1276	6253	25924	1688	10989	30393	0.4298924	0.7482695	 	0.005559416	 	0		0.00		5662661015	R02C02
1	1ncorr	0	15	B00D653	0.9283854	Unknown	1071	6353	27308	1357	9827	29895	0.4408541	0.7503788	 	0.004207574	 	0		0.00		5662661015	R02C03
2	2ncorr	0	16	B00D65C	0.9329427	Unknown	1082	5740	25798	1513	10973	30495	0.450477	0.7515529	 	 	0.00837404	0		0.00		5662661015	R02C04
2	2ncorr	0	17	B00D65L	0.9381511	Unknown	1258	5936	22578	2076	12499	32904	0.4438987	0.7513749	 	 	0.01249133	0		0.00		5662661018	R02C01
9	9ncorr	0	18	B00D65Y	0.9401042	Unknown	1332	5774	23497	2142	12456	34718	0.4395135	0.7508479	 	0.001385042	 	0		0.00		5662661018	R02C02
