Ind;fameff;bloc;PU;rg;n;fam;trait;oid4_09;oid5_10;oid5_11;oid4_12;gel_13;oid2_13;oid_16;oid_17;pgland;date_em;Hfin09;Hfin10;Hfin11;Hfin12;Hdeb14;Hdeb15;Hdeb16;Hdeb17;diam16;an_mort;H09v;H10v;H11v;H12v;H14v;H15v;H16v;H17v;exp;oid_moy;survie2017
A1B10;45;1;1;2;10;45;nat;30;51.25;30;3;0;25;90;15;4;135;18;27;28;31;37;35;39;38;10.9;vivant;18;27;28;31;37;35;39;38;exp;27.85;1
A1B12;51;1;1;2;12;51;nat;;;;;;;;;3.7;;;;;;;;;;;g;;;;;;;;;exp;;
A1B13;45;1;1;2;13;45;nat;20;41.3375;43;19;1;25;85;15;5.3;135;18.5;31;33;32;36.5;40;51;50;12.1;vivant;18.5;31;33;32;36.5;40;51;50;exp;29.6675;1
A1B14;45;1;1;2;14;45;nat;;;;;;;;;1.9;;;;;;;;;;;g;;;;;;;;;exp;;
A1B15;76;1;1;2;15;76;nat;;;;;;;;;3;;;;;;;;;;;g;;;;;;;;;exp;;
A1B16;73;1;1;2;16;73;nat;20;18;40;27;0;25;95;5;4.7;135;13;25;30;29;49;53;57;59;12.1;vivant;13;25;30;29;49;53;57;59;exp;26;1
A1B17;72;1;1;2;17;72;nat;30;51;50;19;1;25;;;5;135;31;34;35;33;0;0;0;0;;2014;31;34;35;33;;;;;exp;35;0
A1B18;45;1;1;2;18;45;nat;50;45;12;16;1;50;95;70;5.1;135;27;35;45;51;38;70;87;92;10.1;vivant;27;35;45;51;38;70;87;92;exp;34.6;1
A1B19;75;1;1;2;19;75;nat;10;32.05;43;24;0;25;100;0;4;168;12.5;20;22;22;15;22;13;24;3;vivant;12.5;20;22;22;15;22;13;24;exp;26.81;1
A1B2;70;1;1;2;2;70;nat;;;;;;;;;4.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1B21;77;1;1;2;21;77;nat;30;43.475;63;6;0;5;80;10;4.3;135;15;29;32;36;36;35;37;37;7.3;vivant;15;29;32;36;36;35;37;37;exp;29.495;1
A1B22;71;1;1;2;22;71;nat;40;40.6;32;3;1;25;;;8;135;16.5;16;21;20;7;12;23;0;0.9;2017;16.5;16;21;20;7;12;23;;exp;28.12;0
A1B23;72;1;1;2;23;72;nat;;;;;;;;;1.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1B24;71;1;1;2;24;71;nat;40;31.6;40;16;0;50;50;5;5.8;153;20;39;49;53;15;10;15;13;2.3;vivant;20;39;49;53;15;10;15;13;exp;35.52;1
A1B26;11;1;1;2;26;11;nat;10;49.8875;53;19;1;50;85;25;6.3;135;14;38;40;39;23;52;54;26;6.5;vivant;14;38;40;39;23;52;54;26;exp;36.3775;1
A1B28;73;1;1;2;28;73;nat;10;31.5;80;0;1;25;;;3.6;135;7.5;15;15;12;0;0;0;0;;2014;7.5;15;15;12;;;;;exp;29.3;0
A1B29;27;1;1;2;29;27;nat;20;27.5;37;24;0;5;;;4.3;153;8;14;17;20;0;0;0;0;;2014;8;14;17;20;;;;;exp;22.7;0
A1B3;48;1;1;2;3;48;nat;;;;;;;;;3.6;;;;;;;;;;;g;;;;;;;;;exp;;
A1B30;45;1;1;2;30;45;nat;;;;;;;;;5.7;;;;;;;;;;;g;;;;;;;;;exp;;
A1B31;75;1;1;2;31;75;nat;;;;;;;;;2.5;;;;;;;;;;;g;;;;;;;;;exp;;
A1B33;75;1;1;2;33;75;nat;30;36.5875;15;19;1;25;65;2;3.8;135;13.5;18;24;29;25;27;28;23;8.2;vivant;13.5;18;24;29;25;27;28;23;exp;25.1175;1
A1B34;76;1;1;2;34;76;nat;20;32.95;22.5;14;1;50;;;5.1;153;14;32;33;33;0;0;0;0;;2014;14;32;33;33;;;;;exp;27.89;0
A1B38;11;1;1;2;38;11;nat;40;45.2;95;9;0;50;;;5.1;224;15;19;20;20;0;0;0;0;;2014;15;19;20;20;;;;;exp;47.84;0
A1B39;11;1;1;2;39;cc;nat;20;29.225;10;6;1;50;40;0;4.3;224;17;31;30;38;13;15;19;20;2.6;vivant;17;31;30;38;13;15;19;20;exp;23.045;1
A1B4;9;1;1;2;4;9;nat;;;;;;;;;3.5;;;;;;;;;;;g;;;;;;;;;exp;;
A1B40;73;1;1;2;40;73;nat;20;40.5;42.5;6;0;;;;6.1;135;15;52;61;58;0;0;0;0;;2013;15;52;61;58;;;;;exp;;0
A1B42;9;1;1;2;42;9;nat;;;;;;;;;4.1;;;;;;;;;;;g;;;;;;;;;exp;;
A1B43;48;1;1;2;43;48;nat;;;;;;;;;4.7;;;;;;;;;;;g;;;;;;;;;exp;;
A1B44;9;1;1;2;44;9;nat;;;;;;;;;4;;;;;;;;;;;g;;;;;;;;;exp;;
A1B46;73;1;1;2;46;73;nat;;;;;;;;;2.5;;;;;;;;;;;g;;;;;;;;;exp;;
A1B47;51;1;1;2;47;51;nat;;;;;;;;;4.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1B5;71;1;1;2;5;48;nat;;;;;;;;;4.2;;;;;;;;;;;g;;;;;;;;;exp;;
A1B6;72;1;1;2;6;72;nat;40;38.35;42.5;19;0;25;;;5.4;135;24.5;28;36;37;30.5;0;0;0;;2015;24.5;28;36;37;30.5;;;;exp;32.97;0
A1B7;9;1;1;2;7;9;nat;30;38.35;42;27;0;5;;;3.3;135;16;14;16;19;0;0;0;0;;2014;16;14;16;19;;;;;exp;28.47;0
A1B8;48;1;1;2;8;48;nat;;;;;;;;;1.7;;;;;;;;;;;g;;;;;;;;;exp;;
